Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,130000.000000,132500.000000,130000.000000,132000.000000,132000.000000,5384526
2021-02-16,132500.000000,134000.000000,130500.000000,132500.000000,132500.000000,3218689
2021-02-17,131000.000000,131000.000000,128000.000000,130000.000000,130000.000000,3621178
2021-02-18,128500.000000,130000.000000,125500.000000,126000.000000,126000.000000,3792425
2021-02-19,129000.000000,133000.000000,128500.000000,133000.000000,133000.000000,6986526
2021-02-22,136000.000000,139500.000000,135000.000000,136500.000000,136500.000000,7961516
2021-02-23,133500.000000,140000.000000,131500.000000,138500.000000,138500.000000,6400037
2021-02-24,137500.000000,143500.000000,134000.000000,136000.000000,136000.000000,9074809
2021-02-25,141000.000000,149500.000000,140000.000000,148500.000000,148500.000000,9936495
2021-02-26,143500.000000,145000.000000,138000.000000,141500.000000,141500.000000,10843268
2021-03-02,149000.000000,150500.000000,141000.000000,144500.000000,144500.000000,9376523
2021-03-03,142500.000000,147000.000000,139500.000000,147000.000000,147000.000000,5827221
2021-03-04,143000.000000,145500.000000,139500.000000,142000.000000,142000.000000,6586562
2021-03-05,138000.000000,141500.000000,136500.000000,140000.000000,140000.000000,6091444
2021-03-08,143000.000000,143000.000000,135500.000000,135500.000000,135500.000000,5587787
2021-03-09,134000.000000,137500.000000,130500.000000,136500.000000,136500.000000,7822152
2021-03-10,140500.000000,140500.000000,132500.000000,133000.000000,133000.000000,5614476
2021-03-11,134500.000000,139000.000000,134000.000000,137000.000000,137000.000000,6707671
2021-03-12,140500.000000,142500.000000,139500.000000,140000.000000,140000.000000,4548695
2021-03-15,141500.000000,142000.000000,136000.000000,136500.000000,136500.000000,4289990
2021-03-16,138500.000000,140500.000000,138000.000000,140500.000000,140500.000000,3304561
2021-03-17,141000.000000,141000.000000,138500.000000,140000.000000,140000.000000,2588319
2021-03-18,142500.000000,145000.000000,141000.000000,142000.000000,142000.000000,4426840
2021-03-19,138000.000000,139500.000000,137000.000000,138000.000000,138000.000000,4015627
2021-03-22,138500.000000,140000.000000,137000.000000,138000.000000,138000.000000,2727719
2021-03-23,139000.000000,139500.000000,134000.000000,135000.000000,135000.000000,3839090
2021-03-24,133000.000000,134500.000000,131500.000000,133500.000000,133500.000000,3894080
2021-03-25,133000.000000,134500.000000,130500.000000,133000.000000,133000.000000,4157799
2021-03-26,134000.000000,135000.000000,132000.000000,135000.000000,135000.000000,3835443
2021-03-29,135500.000000,135500.000000,131500.000000,132000.000000,132000.000000,3575226
2021-03-30,133000.000000,135500.000000,132000.000000,134500.000000,134500.000000,3304184
2021-03-31,134500.000000,135000.000000,132000.000000,132500.000000,132500.000000,3309680
